type,pos,number,fact_fragment,was_submitted
trivia,DT,133,the number of career touchdowns from 1983 - 1996 of Canadian Football League quarterback Danny Barrett,False
trivia,DT,133,the common processor speed in MHz for common 32-bit processor CPUs circa 1995 such as the Intel Pentium and AMD AMD K5,False
trivia,DT,133,the rank in world population for Albania,False
trivia,DT,133,the number of episodes of the TV series Good Times ran on CBS from 1974 to 1979,False
trivia,DT,132,the number of runs Pakistan was shot out o hand over the World cup trophy to a strong australian team in the Cricket World Cup 1999,False
trivia,DT,132,the Opus number of one of Beethoven's greatest works,False
trivia,DT,132,the year in AH in the Islamic calendar that corresponds to 749 - 750 CE,False
trivia,DT,132,the rank of Uruguay in world population,False
trivia,DT,132,the number of episodes of the TV series Martin that ran on Fox from 1992 to 1997,False
trivia,DT,132,the TV series Third Watch ran on NBC from 1999 to 2005 with 132 episodes,False
trivia,DT,132,the number of columns of a Line printer printing in landscape mode on 14-inch paper,False
trivia,DT,131,the medical emergency telephone number in Chile,False
trivia,DT,131,the number serving a monkiker for Indie music,False
trivia,DT,137,the atomic number of an element not yet observed called Untriseptium,False
trivia,DT,137,"the California Penal Code for ""Offer bribe to influence testimony""",False
trivia,DT,137,a radioactive isotope of Caesium formed by nuclear fission,False
trivia,DT,136,the number of episodes of the TV series That Girl ran on ABC from 1966 to 1971,False
trivia,DT,136,the number of episodes the TV series Fame ran on NBC and syndication from 1982 to 1987,False
trivia,DT,136,the lower frequency band in kHz that amateur radio operators are allowed to transmit,False
trivia,DT,136,"the hottest temperature ever recorded in Fahrenheits at Aziziya, Libya in September 1922",False
trivia,DT,136,the section of the Mental Health Act 1983 (UK law) details removing a mentally ill person from a public place to a place of safety,False
trivia,DT,134,the number of episodes in the TV series Hawaiian Eye that ran on ABC from 1959 to 1963,False
trivia,DT,134,the number of episodes of the TV series Xena Warrior Princess,False
trivia,DT,134,the rank of Mauritania in terms of world population,False
trivia,DT,135,"the cartridge version of 35mm photographic film, used widely in still photogaphy",False
trivia,DT,135,the angle between two planets in degrees so that they are in an astrological aspect called a sesquiquadrate,False
trivia,DT,135,the atomic number of an element temporarily called untriquadium,False
trivia,DT,135,"the height of the World's tallest thermometer in feet located in Baker, California",False
trivia,DT,135,"the hottest temperature ever measured in the United States in Fahrenheit  at Death Valley, California on July 10, 1913",False
trivia,DT,139,the margin in St Kilda's win over the Brisbane Lions in the last round of the 2005 season in the Australian Football League,False
